상권_코드_명,Covid_영향력,코로나_전_유동인구_증감률,코로나_후_유동인구_증감률,코로나_유동인구_증감률_변화량,코로나_전_20대_유동인구비율_평균,코로나_후_20대_유동인구비율_평균,20대_유동인구비율_변화량,코로나_전_30대_유동인구비율_평균,코로나_후_30대_유동인구비율_평균,30대_유동인구비율_변화량,코로나_전_40대_유동인구비율_평균,코로나_후_40대_유동인구비율_평균,40대_유동인구비율_변화량,코로나_전_50대_유동인구비율_평균,코로나_후_50대_유동인구비율_평균,50대_유동인구비율_변화량,코로나_전_60대이상_유동인구비율_평균,코로나_후_60대이상_유동인구비율_평균,60대이상_유동인구비율_변화량,코로나_전_상주인구_증감률,코로나_후_상주인구_증감률,코로나_상주인구_증감률_변화량,코로나_전_20대_상주인구비율_평균,코로나_후_20대_상주인구비율_평균,20대_상주인구비율_변화량,코로나_전_30대_상주인구비율_평균,코로나_후_30대_상주인구비율_평균,30대_상주인구비율_변화량,코로나_전_40대_상주인구비율_평균,코로나_후_40대_상주인구비율_평균,40대_상주인구비율_변화량,코로나_전_50대_상주인구비율_평균,코로나_후_50대_상주인구비율_평균,50대_상주인구비율_변화량,코로나_전_60대이상_상주인구비율_평균,코로나_후_60대이상_상주인구비율_평균,60대이상_상주인구비율_변화량,500m_내_지하철역_수,700m_내_지하철역_수,1000m_내_지하철역_수,1500m_내_지하철역_수,2000m_내_지하철역_수,2500m_내_지하철역_수,3000m_내_지하철역_수,가장_가까운_역까지의거리(m),인근_정류장_수,상권을_지나는노선_수,인근_정류장_평균_노선_수,디저트류_매출비율,마켓류_매출비율,미용뷰티류_매출비율,오락류_매출비율,음식점류_매출비율,주점류_매출비율,골목상권,관광특구,발달상권,전통시장,개업률 변화(코로나 대비),폐업률 변화(코로나 대비),개업률_코로나영향(추세 제거),폐업률_코로나영향(추세 제거),점포수 변화율(추세 반영),점포수 표준편차,프랜차이즈_점포_비율,프랜차이즈_점포_비율변화(전후),프랜차이점비율_코로나영향(추세 제거),상권_집객시설_수,교육시설_수,의료시설_수,공기관_수,소매점_수
마조로1길,-0.1971,0.25649909697159057,0.16347764990758928,-0.09302144706400127,0.3823605909841416,0.4377044031798118,0.055343812195670194,0.16852367164923307,0.13593451211121613,-0.032589159538016936,0.1301634900101179,0.08520901200853155,-0.04495447800158635,0.11541584878555194,0.08370695945748656,-0.031708889328065384,0.10415183961965747,0.13063700399030825,0.02648516437065075,0.07005362457308123,-0.011689909762100084,-0.0817435343351813,0.44892273574868496,0.5066666666666667,0.05774393091798175,0.17103125875125766,0.15583333333333332,-0.015197925417924337,0.07871980546263532,0.061666666666666675,-0.017053138795968658,0.08820378463629366,0.07583333333333334,-0.012370451302960328,0.13739018790841673,0.13583333333333333,-0.001556854575083394,2,3,6,10,17,22,29,13.015933370115654,65,22,2.7846153846153845,0.12889846995269771,0.1331734537694064,0.05512609501610485,0.0,0.5804369524125511,0.10236502884924033,1,0,0,0,-0.7615,0.8097,0.5808,2.8001,-0.0024,2.69,24.2,-5.0443999999999996,2.2908,10.0,0.0,0.0,1.0,0.0
퇴계로46길,-0.2002,0.5835324173842944,-0.4210312239238671,-1.0045636413081611,0.3006441996266133,0.29745806311333695,-0.0031861365132763164,0.21983872959985867,0.16780600461521428,-0.0520327249846444,0.17399035613814426,0.15312833953600147,-0.020862016602142763,0.1381676485678715,0.13998222782547626,0.0018145792576047262,0.10124588548678204,0.16302420061460215,0.06177831512782012,0.09499462484010714,-0.03033980582524272,-0.12533443066534986,0.2311519563215939,0.2445193929173693,0.013367436595775413,0.16466604428007248,0.16020236087689713,-0.00446368340317535,0.13590667741489573,0.11804384485666106,-0.01786283255823469,0.11261144713117655,0.10792580101180438,-0.0046856461193721935,0.2298851736395271,0.25126475548060706,0.021379581841079992,3,3,8,13,21,29,37,204.31566324791802,40,27,4.45,0.055078346400616464,0.4592993191671081,0.0,0.0,0.4681053082523874,0.017517026179887967,1,0,0,0,-3.2329,-2.9231,-1.6171,-3.0839,0.0265,3.6,21.83,0.6561999999999983,4.17,25.0,0.0,6.0,0.0,0.0
창신2길,-0.2567,1.823483762073555,0.0456382981495432,-1.7778454639240118,0.14334449642024868,0.13184348062435836,-0.01150101579589033,0.16861547235035204,0.107151390459616,-0.06146408189073605,0.20172127874758944,0.14014387123977398,-0.061577407507815464,0.24299270994790395,0.2344127831150873,-0.008579926832816664,0.1970278638819099,0.2989729651490929,0.10194510126718298,-0.05079091955848963,-0.020573566084788032,0.030217353473701605,0.128086724499675,0.1282051282051282,0.00011840370545318502,0.11360957026136626,0.09743589743589744,-0.016173672825468804,0.15249507480748492,0.13333333333333333,-0.01916174147415159,0.22851421743577674,0.2564102564102564,0.027896038974479648,0.2796030797235245,0.3038461538461538,0.024243074122629327,2,4,6,13,19,28,35,69.11110710301557,59,50,3.9491525423728815,0.0,0.4296681840797418,0.041491743551544315,0.06147100685215801,0.4370063831804538,0.03036268233610188,1,0,0,0,1.5952,1.7388,0.5438,0.3366,-0.029,1.04,8.79,-0.8956,-1.58,5.0,0.0,2.0,0.0,0.0
창경궁로43길,-0.3382,3.961132784202051,-0.028633267699294727,-3.9897660519013463,0.2350461615417457,0.18101400575212945,-0.05403215578961626,0.18765505039536604,0.16327153242245845,-0.024383517972907557,0.2037073121798748,0.16059551141016212,-0.04311180076971269,0.16474571226988735,0.1369215480058606,-0.02782416426402676,0.13348544452746058,0.2428851525671997,0.10939970803973907,0.010664881385136507,-0.006326687116564417,-0.016991568501700926,0.24496251829483665,0.2443928847641145,-0.0005696335307221745,0.1889191259115129,0.1902552204176334,0.0013360945061205165,0.13720330462767885,0.1268368136117556,-0.01036649101592324,0.14005409489857926,0.13379737045630316,-0.006256724442276096,0.1858919383955644,0.1987625676720804,0.012870629276516,1,2,2,5,10,17,26,22.466443787188968,82,31,2.9878048780487805,0.09723111840987457,0.13094244117955015,0.07273193546118781,0.0,0.6760168313537198,0.02307767359566777,1,0,0,0,-4.0212,-2.1847,-0.1481,-1.2784,-0.1146,7.82,9.37,7.8375,9.6325,17.0,0.0,1.0,0.0,0.0
답십리로23길,-0.3633,1.5050706157409135,0.029056010046468638,-1.476014605694445,0.20179774446699295,0.12936283093052922,-0.07243491353646375,0.1858225810099487,0.14888780668088086,-0.03693477432906783,0.18370360769766214,0.15566374194706264,-0.028039865750599524,0.17717280969891702,0.14818139089596066,-0.02899141880295633,0.15794102164522406,0.24674557877359105,0.08880455712836699,0.04765235321115698,0.06201799485861183,0.014365641647454843,0.15371136455549814,0.14760585674713098,-0.006105507808367161,0.1447287196391377,0.15868618915710328,0.013957469517965587,0.15342332225488234,0.15037593984962405,-0.0030473824052583143,0.1714519649887346,0.1630391768895924,-0.008412788099142199,0.24302619312295304,0.26078353779184804,0.017757344668895003,1,1,3,7,11,16,25,449.3377178440963,62,34,4.983870967741935,0.214620260500053,0.5394681828402749,0.11955394404428192,0.0,0.12635761261539016,0.0,1,0,0,0,-2.5287,3.9095,-2.198,3.6028,-0.243,8.8,19.62,2.9419000000000004,-1.04,3.0,0.0,1.0,0.0,0.0
돌곶이로22길,-0.3431,0.7232903631332891,0.011146665152373992,-0.712143697980915,0.17051854498251975,0.13406869497331778,-0.03644985000920198,0.1623567909477049,0.11841484327549155,-0.043941947672213336,0.19658897830582464,0.1476690746974756,-0.04891990360834905,0.2122047990474464,0.1546929619659176,-0.05751183708152882,0.19461305813540647,0.2793590527090407,0.08474599457363424,-0.017675614072332597,0.02099236641221374,0.03866798048454634,0.15217353120681126,0.1551155115511551,0.0029419803443438424,0.1420323738723439,0.12953795379537955,-0.012494420076964358,0.15149303089947666,0.14603960396039606,-0.00545342693908063,0.18002335228054753,0.1740924092409241,-0.005930943039623438,0.2408759181434057,0.2838283828382838,0.042952464694878116,1,2,3,8,11,16,21,122.07214390794954,72,29,3.3472222222222223,0.03515928386993723,0.3678286071379732,0.07818263412223568,0.0,0.4754588935611159,0.043370581308738304,1,0,0,0,-1.7144,-2.2844,-2.432,-2.7516,-0.0562,1.94,11.59,1.9012000000000011,1.6483,7.0,0.0,1.0,0.0,0.0
정릉로8길,-0.2585,8.268256325687526,-0.4716671180866313,-8.739923443774158,0.503955995845398,0.2574428607892928,-0.2465131350561052,0.08832618434521633,0.15871823469551066,0.07039205035029435,0.11635313727725895,0.10437975971172718,-0.01197337756553177,0.09315272975606788,0.11611519782719908,0.02296246807113121,0.06964353188182966,0.2318833166105071,0.16223978472867745,0.001322148265200241,0.012923846581434131,0.01160169831623389,0.200259278006155,0.2355191256830601,0.0352598476769051,0.1475219385791442,0.1371584699453552,-0.010363468633789008,0.1243979434545351,0.11256830601092896,-0.011829637443606142,0.15158997047370878,0.13060109289617486,-0.020988877577533926,0.2556450601285109,0.2644808743169399,0.008835814188428992,0,0,1,2,4,8,12,737.4622770949562,37,13,2.27027027027027,0.08664095407089135,0.5340308448266744,0.008304437267436675,0.010025328209920135,0.22183738702291025,0.13916104860216702,1,0,0,0,-0.8091,3.2001,-0.0197,2.6563,-0.0452,2.68,14.8,8.5025,0.5758,11.0,0.0,1.0,1.0,0.0
동소문로2길,-0.1785,0.8007255291902173,-0.14011286464295525,-0.9408383938331726,0.25487880334820584,0.21727424269265336,-0.03760456065555248,0.1844296126796359,0.15451041235483098,-0.02991920032480488,0.18817950825729435,0.14811540545681948,-0.04006410280047487,0.16056729720972182,0.13917479371300312,-0.0213925034967187,0.12610977619995933,0.2013438566791024,0.07523408047914304,0.03265525310106978,0.028074866310160426,-0.004580386790909354,0.15987181700981642,0.14690721649484534,-0.012964600514971059,0.12220278940582872,0.11855670103092784,-0.0036460883749008938,0.15859808479532614,0.16752577319587628,0.008927688400550138,0.16511678295196794,0.16494845360824742,-0.00016832934372054684,0.29610012221044296,0.31958762886597936,0.023487506655536398,1,2,4,6,11,17,21,191.42131235490547,75,35,2.6933333333333334,0.011914359672180859,0.14011867833198474,0.006945728662677764,0.04159566623792274,0.6754370869778954,0.12398848011733855,1,0,0,0,-1.0518,-2.2332,-0.2859,-0.6593,0.1428,2.34,12.13,-6.7306,-3.09,14.0,0.0,2.0,0.0,0.0
망우로18가길,-0.2769,1.853581566145664,-0.17985639034095902,-2.0334379564866225,0.4257502955150413,0.4313446111089423,0.005594315593900946,0.13946049556859735,0.11166372300936432,-0.027796772559233032,0.11931180838110332,0.09142182389217147,-0.027889984488931832,0.12009276721014775,0.08699446465256999,-0.033098302557577744,0.09057220493908452,0.1733070323205129,0.08273482738142837,-0.03619276443905662,0.018561484918793503,0.054754249357850115,0.3178695465562204,0.3637735849056604,0.045904038349439964,0.13233209632844245,0.12377358490566034,-0.008558511422782078,0.11347084523962493,0.09660377358490566,-0.016867071654719262,0.12554267745882405,0.11471698113207547,-0.01082569632674858,0.20973355371423444,0.22150943396226416,0.011775880248029724,1,1,2,3,5,17,26,191.08349820894242,44,36,5.0227272727272725,0.05068302129743773,0.8310171096811308,0.005572689191469325,0.0,0.11272717982996218,0.0,1,0,0,0,-2.381,-2.877,0.7113,1.2672,0.093,1.91,15.66,2.8949999999999996,6.3083,1.0,0.0,1.0,0.0,0.0
망우로21길,-0.1964,0.6434950396176664,-0.056647754733951186,-0.7001427943516176,0.3226278333039269,0.27819870499764765,-0.044429128306279216,0.15668013722789775,0.1380860062149915,-0.018594131012906245,0.14148779153331148,0.12170365422938645,-0.019784137303925045,0.1435977944249663,0.12738510811839002,-0.016212686306576296,0.14783006465833826,0.19921699318512212,0.051386928526783886,0.2941915386436719,0.02415026833631485,-0.2700412703073571,0.14750372318345606,0.16291161178509533,0.015407888601639302,0.13402636818471192,0.14731369150779894,0.013287323323087049,0.13864033357832975,0.1265164644714038,-0.01212386910692595,0.16572335487240467,0.1438474870017331,-0.02187586787067156,0.2935595479792096,0.28942807625649913,-0.004131471722710446,1,2,2,4,7,17,23,57.18729701887435,50,27,4.2,0.06833779731468557,0.08574208278342467,0.009286149565759173,0.017098068704982518,0.7995457105439052,0.019990191087242516,1,0,0,0,-0.754,0.1176,-0.9494,-0.5252,-0.0049,3.11,17.82,1.1294000000000004,1.3667,10.0,0.0,3.0,0.0,0.0
