상권_코드_명,1분기 covid 영향력,2분기 covid 영향력,3분기 covid 영향력,4분기 covid 영향력,상권_평균_점포수(scaling),상권_평균_점포수,segment
이화장길,-0.3276000000000001,-0.4845999999999999,-0.4344000000000001,-0.4091999999999999,0.1496,77.0,24
인왕시장,0.09870000000000001,0.009200000000000097,-0.15139999999999998,-0.3972000000000001,0.1068,74.0,9
인촌로17가길,-0.16480000000000006,-0.19609999999999994,-0.1824,-0.12729999999999997,-0.9771,27.0,12
인촌로1길,-0.3036,-0.34320000000000006,-0.29699999999999993,-0.2538,0.8075,142.0,1
인촌로24길,-0.18059999999999998,-0.2487999999999999,-0.2336999999999999,-0.37750000000000006,1.2976,224.0,17
인촌로5길,-0.0805999999999999,-0.02949999999999986,-0.06780000000000008,-0.19310000000000005,-0.6097,38.0,10
인현시장,-0.040100000000000025,-0.05850000000000011,-0.08409999999999995,-0.2778999999999999,0.2431,84.0,20
자양로15길,-0.1048,-0.37960000000000005,-0.3202999999999999,-0.3116,-0.1738,57.0,0
자양로26길,-0.08150000000000002,-0.0411999999999999,0.10260000000000002,0.11480000000000001,0.0,67.0,14
자양로50길,-0.07740000000000002,-0.049699999999999966,0.08250000000000002,0.32409999999999994,-0.252,53.0,14
자하문로7길,-0.36240000000000006,-0.24240000000000006,-0.1995,-0.22120000000000006,0.5524,112.0,16
잠실 관광특구,-0.17020000000000013,-0.22619999999999996,-0.23429999999999995,-0.31010000000000004,2.9103,1004.0,23
장미원골목시장,-0.014599999999999946,-0.027300000000000102,-0.0677000000000001,-0.10980000000000001,-0.3812,47.0,10
